Time,Open,High,Low,Last,Change,%Chg,Volume
09/22/2023,94.42,94.69,93.95,94.01,-0.02,-0.02%,1231300
09/21/2023,94.86,94.89,93.95,94.03,-1.57,-1.64%,1580000
09/20/2023,96.51,96.77,95.57,95.6,-0.66,-0.69%,1155700
09/19/2023,96.32,96.45,95.815,96.26,-0.18,-0.19%,1238100
09/18/2023,96.42,96.65,96.1907,96.44,-0.52,-0.54%,902200
09/15/2023,97.58,97.64,96.885,96.96,-0.81,-0.83%,3055900
09/14/2023,97.41,97.87,97.2,97.77,0.98,+1.01%,1228900
09/13/2023,96.86,97.05,96.56,96.79,-0.11,-0.11%,1335300
09/12/2023,96.95,97.35,96.8201,96.9,-0.41,-0.42%,973700
09/11/2023,97.23,97.35,96.9692,97.31,0.78,+0.81%,1027800
09/08/2023,96.51,96.84,96.39,96.53,0.04,+0.04%,1840400
09/07/2023,96.31,96.6,96.11,96.49,-0.4,-0.41%,895400
09/06/2023,97.28,97.395,96.475,96.89,-0.56,-0.57%,1659600
09/05/2023,97.9,97.9,97.4,97.45,-0.62,-0.63%,1512700
09/01/2023,98.53,98.6399,97.785,98.07,0.34,+0.35%,2062000
08/31/2023,98.07,98.21,97.66,97.73,-0.25,-0.26%,988600
08/30/2023,97.82,98.18,97.64,97.98,0.24,+0.25%,1273400
08/29/2023,96.34,97.8,96.29,97.74,1.3,+1.35%,1683800
08/28/2023,96.22,96.53,96.085,96.44,0.79,+0.83%,1336900
08/25/2023,95.47,95.9301,94.679,95.65,0.55,+0.58%,1979800
08/24/2023,96.45,96.56,95.06,95.1,-1.2,-1.25%,1294400
08/23/2023,95.52,96.45,95.51,96.3,1.09,+1.14%,1423600
08/22/2023,95.79,95.83,95.105,95.21,-0.2,-0.21%,1653300
08/21/2023,95.14,95.55,94.69,95.41,0.47,+0.50%,1138900
08/18/2023,94.3,95.15,94.23,94.94,-0.06,-0.06%,1858300
08/17/2023,96.01,96.06,94.871,95,-0.63,-0.66%,930000
08/16/2023,96.18,96.53,95.61,95.63,-0.73,-0.76%,1272900
08/15/2023,97.08,97.0999,96.22,96.36,-1.15,-1.18%,1750800
08/14/2023,96.96,97.52,96.7185,97.51,0.08,+0.08%,926400
08/11/2023,97.21,97.66,97.07,97.43,-0.35,-0.36%,1153200
08/10/2023,98.3,98.98,97.54,97.78,0.15,+0.15%,1107400
08/09/2023,98.08,98.17,97.435,97.63,-0.4,-0.41%,928100
08/08/2023,97.73,98.08,97.255,98.03,-0.61,-0.62%,1376900
08/07/2023,98.4,98.645,98.03,98.64,0.72,+0.74%,1102100
08/04/2023,98.57,99.09,97.83,97.92,-0.18,-0.18%,1384000
08/03/2023,97.84,98.44,97.7128,98.1,-0.21,-0.21%,1065200
08/02/2023,99.04,99.08,98.15,98.31,-1.67,-1.67%,1514100
08/01/2023,100.07,100.21,99.735,99.98,-0.61,-0.61%,1442700
07/31/2023,100.5,100.725,100.36,100.59,0.22,+0.22%,3082000
07/28/2023,100.2,100.54,100.03,100.37,1.03,+1.04%,869800
07/27/2023,100.69,100.69,99.155,99.34,-0.66,-0.66%,1179300
07/26/2023,99.5,100.26,99.49,100,0.18,+0.18%,895600
07/25/2023,99.56,100.03,99.55,99.82,0.3,+0.30%,1126500
07/24/2023,99.29,99.657,99.14,99.52,0.36,+0.36%,633300
07/21/2023,99.48,99.515,99.105,99.16,0.04,+0.04%,1073200
07/20/2023,99.63,99.73,99,99.12,-0.68,-0.68%,1294400
07/19/2023,99.84,100.075,99.66,99.8,0.09,+0.09%,927400
07/18/2023,99.02,99.78,98.9594,99.71,0.6,+0.61%,901500
07/17/2023,98.69,99.28,98.605,99.11,0.28,+0.28%,1168200
07/14/2023,99.24,99.28,98.73,98.83,-0.36,-0.36%,1127900
07/13/2023,98.72,99.31,98.6705,99.19,1.13,+1.15%,1457600
07/12/2023,97.91,98.2485,97.82,98.06,1.13,+1.17%,996000
07/11/2023,96.4,96.985,96.225,96.93,0.83,+0.86%,883100
07/10/2023,95.64,96.1,95.59,96.1,0.3,+0.31%,975500
07/07/2023,95.45,96.505,95.45,95.8,0.25,+0.26%,1168000
07/06/2023,95.71,95.71,94.97,95.55,-1.19,-1.23%,995800
07/05/2023,96.79,96.9099,96.59,96.74,-0.55,-0.57%,793100
07/03/2023,97.06,97.29,97,97.29,0.31,+0.32%,971600
06/30/2023,96.66,97.13,96.645,96.98,1.06,+1.11%,1184200
06/29/2023,95.49,95.92,95.41,95.92,0.18,+0.19%,775200
06/28/2023,95.47,95.91,95.31,95.74,0.05,+0.05%,1138900
06/27/2023,94.98,95.815,94.835,95.69,0.97,+1.02%,931800
06/26/2023,94.79,95.2,94.675,94.72,-0.06,-0.06%,1251600
06/23/2023,94.8,95.13,94.66,94.78,-1.05,-1.10%,1602900
